"driver_id","driver_name","overall_on_time_rate","overall_mpg","revenue_per_mile"
"DRV00111","Richard Jones",0.4561,6.4306,2.1463
"DRV00065","Robert Brown",0.4552,6.4622,2.1618
"DRV00103","Joseph Hernandez",0.4543,6.4843,2.1282
"DRV00062","Jessica Davis",0.4542,6.4378,2.1557
"DRV00003","Charles Hernandez",0.4535,6.4801,2.1252
"DRV00128","John Thomas",0.4534,6.4692,2.1424
"DRV00059","Barbara Gonzalez",0.4527,6.4700,2.1647
"DRV00102","Elizabeth Rodriguez",0.4526,6.4820,2.1218
"DRV00049","John Smith",0.4526,6.4638,2.1504
"DRV00019","Robert Jackson",0.4526,6.4247,2.1463
"DRV00055","Mary Anderson",0.4521,6.4349,2.1551
"DRV00034","Thomas Miller",0.4509,6.4397,2.1478
"DRV00016","Thomas Gonzalez",0.4509,6.4488,2.1854
"DRV00045","Thomas Martinez",0.4508,6.4412,2.1048
"DRV00047","Elizabeth Miller",0.4507,6.4894,2.1434
"DRV00130","Karen Lopez",0.4507,6.3834,2.1750
"DRV00142","John Thomas",0.4501,6.4195,2.1440
"DRV00038","William Williams",0.4497,6.4859,2.1255
"DRV00032","Michael Anderson",0.4493,6.4453,2.1710
"DRV00058","David Miller",0.4484,6.4185,2.1594
"DRV00149","Linda Jones",0.4480,6.4555,2.1412
"DRV00005","Mary Martinez",0.4479,6.4342,2.1908
"DRV00066","William Wilson",0.4478,6.4568,2.1648
"DRV00043","Mary Williams",0.4476,6.4581,2.1157
"DRV00053","John Martin",0.4471,6.4435,2.1393
"DRV00125","David Smith",0.4471,6.4560,2.1458
"DRV00129","Michael Smith",0.4469,6.4505,2.1732
"DRV00121","Mary Miller",0.4462,6.4407,2.1576
"DRV00024","Barbara Martinez",0.4449,6.4124,2.1456
"DRV00145","Susan Hernandez",0.4448,6.4213,2.1536
"DRV00105","Barbara Moore",0.4448,6.5114,2.1636
"DRV00143","Linda Smith",0.4446,6.4464,2.1503
"DRV00050","Robert Johnson",0.4438,6.4272,2.1545
"DRV00006","Robert Taylor",0.4437,6.4282,2.1127
"DRV00010","Sarah Gonzalez",0.4429,6.4315,2.1487
"DRV00028","Susan Jackson",0.4427,6.4365,2.1659
"DRV00011","Michael Martinez",0.4426,6.4763,2.1575
"DRV00077","Patricia Anderson",0.4421,6.4265,2.1634
"DRV00109","Joseph Davis",0.4414,6.5355,2.1638
"DRV00009","Karen Hernandez",0.4410,6.4055,2.1456
"DRV00084","Jessica Taylor",0.4407,6.4549,2.1687
"DRV00070","Sarah Anderson",0.4400,6.4065,2.1340
"DRV00033","William Anderson",0.4399,6.4049,2.1852
"DRV00134","Linda Moore",0.4395,6.4507,2.1555
"DRV00044","Richard Davis",0.4394,6.4276,2.1138
"DRV00078","John Taylor",0.4394,6.4646,2.1508
"DRV00026","Charles Miller",0.4384,6.4289,2.1619
"DRV00041","Karen Martin",0.4383,6.4057,2.1134
"DRV00079","Patricia Moore",0.4381,6.4582,2.1622
"DRV00082","Michael Anderson",0.4377,6.4584,2.1363
"DRV00018","Patricia Martin",0.4372,6.4183,2.1666
"DRV00013","Jessica Jones",0.4367,6.4100,2.1498
"DRV00037","Jessica Garcia",0.4362,6.4584,2.1384
"DRV00119","Jennifer Wilson",0.4353,6.4606,2.1607
"DRV00012","Robert Moore",0.4343,6.4373,2.0927
"DRV00094","Mary Taylor",0.4342,6.4263,2.1514
"DRV00117","Patricia Moore",0.4336,6.4726,2.1397
"DRV00054","James Williams",0.4332,6.4372,2.1342
"DRV00051","Linda Davis",0.4329,6.4343,2.1512
"DRV00090","David Anderson",0.4323,6.4328,2.1396
"DRV00092","James Davis",0.4319,6.4412,2.1335
"DRV00123","Michael Gonzalez",0.4308,6.4429,2.1607
"DRV00056","William Wilson",0.4307,6.4074,2.1821
"DRV00144","James Gonzalez",0.4303,6.4555,2.1793
"DRV00025","Jessica Martinez",0.4294,6.4331,2.1321
"DRV00122","James Wilson",0.4289,6.4213,2.1320
"DRV00124","Thomas Jackson",0.4287,6.4587,2.1476
"DRV00014","Richard Miller",0.4285,6.4532,2.1454
"DRV00075","John Anderson",0.4284,6.4408,2.1484
"DRV00015","Susan Wilson",0.4282,6.4465,2.1672
"DRV00069","Patricia Taylor",0.4264,6.4366,2.1419
"DRV00087","William Anderson",0.4262,6.4643,2.1503
"DRV00097","Thomas Rodriguez",0.4261,6.4318,2.1154
"DRV00150","Robert Martin",0.4249,6.4050,2.1308
"DRV00061","Linda Gonzalez",0.4233,6.5127,2.1475
"DRV00132","Patricia Gonzalez",0.4221,6.4172,2.1490
"DRV00101","John Davis",0.4217,6.4602,2.2058
"DRV00146","Jessica Gonzalez",0.4208,6.4435,2.1675
"DRV00004","Barbara Brown",0.4204,6.4586,2.1568
"DRV00127","Thomas Gonzalez",0.4202,6.4400,2.1701
"DRV00095","Linda Thomas",0.4145,6.4339,2.1523
"DRV00064","Michael Smith",0.4131,6.4875,2.1259
"DRV00098","David Anderson",0.4091,6.4773,2.1441
"DRV00071","Jessica Johnson",0.4056,6.4244,2.1050
"DRV00118","Susan Anderson",0.4035,6.4658,2.1458
"DRV00074","William Brown",0.4003,6.4390,2.1546
"DRV00133","Mary Wilson",0.3733,6.4452,2.1383
"DRV00008","Barbara Wilson",NULL,NULL,NULL
"DRV00068","John Garcia",NULL,NULL,NULL
"DRV00135","Karen Moore",NULL,NULL,NULL
"DRV00106","Patricia Williams",NULL,NULL,NULL
"DRV00137","Michael Davis",NULL,NULL,NULL
"DRV00096","Joseph Davis",NULL,NULL,NULL
"DRV00116","Thomas Hernandez",NULL,NULL,NULL
"DRV00007","James Martinez",NULL,NULL,NULL
"DRV00046","Susan Davis",NULL,NULL,NULL
"DRV00115","Robert Wilson",NULL,NULL,NULL
"DRV00027","Karen Wilson",NULL,NULL,NULL
"DRV00131","Linda Martinez",NULL,NULL,NULL
"DRV00072","William Moore",NULL,NULL,NULL
"DRV00040","Charles Taylor",NULL,NULL,NULL
"DRV00021","Patricia Gonzalez",NULL,NULL,NULL
"DRV00048","Thomas Jones",NULL,NULL,NULL
"DRV00136","Susan Martin",NULL,NULL,NULL
"DRV00042","Richard Hernandez",NULL,NULL,NULL
"DRV00140","Richard Rodriguez",NULL,NULL,NULL
"DRV00067","Jessica Davis",NULL,NULL,NULL
"DRV00073","Linda Davis",NULL,NULL,NULL
"DRV00086","Karen Moore",NULL,NULL,NULL
"DRV00031","Charles Anderson",NULL,NULL,NULL
"DRV00052","Thomas Thomas",NULL,NULL,NULL
"DRV00076","Charles Jones",NULL,NULL,NULL
"DRV00093","David Rodriguez",NULL,NULL,NULL
